INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162059861,00361,Robbery,ROBBERY - OTHER,,,,07/27/2016 02:18:00 AM,2,2016,7,Wednesday,Part One,,42.35553902,-71.13275759,"(42.35553902, -71.13275759)"
I162071757,01402,Vandalism,VANDALISM,A7,23,,09/02/2016 11:45:00 PM,23,2016,9,Friday,Part Two,PRINCETON ST,42.37679597,-71.03789722,"(42.37679597, -71.03789722)"
I162033784,01402,Vandalism,VANDALISM,C6,224,,05/01/2016 06:00:00 AM,6,2016,5,Sunday,Part Two,E BROADWAY,42.33577134,-71.0271786,"(42.33577134, -71.0271786)"
I162049597,01402,Vandalism,VANDALISM,C6,256,,06/22/2016 03:05:00 PM,15,2016,6,Wednesday,Part Two,MOUNT VERNON ST,42.31779354,-71.04210959,"(42.31779354, -71.04210959)"
I162067431,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,442,,08/20/2016 09:44:00 AM,9,2016,8,Saturday,Part Two,WESTCOTT ST,42.29321805,-71.07886455,"(42.29321805, -71.07886455)"
I162032194,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,B3,443,,04/25/2016 05:54:55 PM,17,2016,4,Monday,Part Two,KINGSDALE ST,42.29528206,-71.07957414,"(42.29528206, -71.07957414)"
I162081202,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D4,905,,10/04/2016 09:33:00 AM,9,2016,10,Tuesday,Other,E BROOKLINE ST,42.33926764,-71.07208833,"(42.33926764, -71.07208833)"
I162050104,00301,Robbery,ROBBERY - STREET,C11,342,,06/24/2016 02:29:00 AM,2,2016,6,Friday,Part One,BOWDOIN ST,42.30406551,-71.0700332,"(42.30406551, -71.0700332)"
I162036493,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E5,822,,05/10/2016 05:00:00 PM,17,2016,5,Tuesday,Part Two,EDGEMERE RD,42.25867638,-71.15116479,"(42.25867638, -71.15116479)"
I162075519,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,D4,618,,09/16/2016 12:01:00 AM,0,2016,9,Friday,Part Two,HUNTINGTON AVE,42.34091586,-71.08771531,"(42.34091586, -71.08771531)"
I162055735,00724,Auto Theft,AUTO THEFT,C6,176,,07/12/2016 08:30:00 AM,8,2016,7,Tuesday,Part One,SOUTHAMPTON ST,42.33152868,-71.06721698,"(42.33152868, -71.06721698)"
I162020581,01402,Vandalism,VANDALISM,E13,579,,03/16/2016 03:28:00 PM,15,2016,3,Wednesday,Part Two,MOZART ST,42.3205644,-71.10444614,"(42.3205644, -71.10444614)"
I162007074,00724,Auto Theft,AUTO THEFT,C6,936,,01/26/2016 08:00:00 PM,20,2016,1,Tuesday,Part One,D ST,42.33794261,-71.05184093,"(42.33794261, -71.05184093)"
I162038527,01703,Indecent Assault,INDECENT EXPOSURE / LEWD AND LASCIVIOUS,A1,100,,05/16/2016 09:14:00 AM,9,2016,5,Monday,Part Two,WATER ST,42.35814629,-71.05464996,"(42.35814629, -71.05464996)"
I162055379,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E18,493,,07/11/2016 01:00:00 PM,13,2016,7,Monday,Part One,METROPOLITAN AVE,42.26209214,-71.11670964,"(42.26209214, -71.11670964)"
I162075084,00561,Other Burglary,BURGLARY - OTHER - ATTEMPT,D14,791,,09/14/2016 03:01:00 PM,15,2016,9,Wednesday,Part One,ALLSTON ST,42.34367382,-71.14138507,"(42.34367382, -71.14138507)"
I162026332,00423,Aggravated Assault,ASSAULT - AGGRAVATED,E18,940,,04/05/2016 02:48:00 PM,14,2016,4,Tuesday,Part One,GARFIELD AVE,42.24235156,-71.12079258,"(42.24235156, -71.12079258)"
I162080628,01402,Vandalism,VANDALISM,A7,28,,10/02/2016 09:56:00 AM,9,2016,10,Sunday,Part Two,CHELSEA ST,42.37172266,-71.03665549,"(42.37172266, -71.03665549)"
I162079657,00413,Aggravated Assault,ASSAULT - AGGRAVATED - BATTERY,B2,237,,09/29/2016 10:04:00 AM,10,2016,9,Thursday,Part One,EASTMAN ST,42.3198604,-71.0643412,"(42.3198604, -71.0643412)"
I162022626,00802,Simple Assault,ASSAULT SIMPLE - BATTERY,E13,579,,03/23/2016 04:39:00 PM,16,2016,3,Wednesday,Part Two,CENTRE ST,42.32287413,-71.10155354,"(42.32287413, -71.10155354)"
I162046591,01402,Vandalism,VANDALISM,D14,,,06/12/2016 08:40:00 PM,20,2016,6,Sunday,Part Two,,,,"(0E-8, 0E-8)"
I162057342,00301,Robbery,ROBBERY - STREET,A1,61,,07/18/2016 09:41:00 PM,21,2016,7,Monday,Part One,FLEET CENTER PL,42.36646326,-71.06067801,"(42.36646326, -71.06067801)"
