INCIDENT NUMBER,OFFENSE CODE,OFFENSE CODE GROUP,OFFENSE DESCRIPTION,DISTRICT,REPORTING AREA,SHOOTING,OCCURRED ON DATE,Hour,YEAR,MONTH,DAY OF WEEK,UCR PART,STREET,LAT,LONG,Location
I162069614,00617,Larceny,LARCENY THEFT FROM BUILDING,D14,788,,08/27/2016 12:43:00 PM,12,2016,8,Saturday,Part One,COMMONWEALTH AVE,42.34136871,-71.14864682,"(42.34136871, -71.14864682)"
I162055137,00619,Larceny,LARCENY ALL OTHERS,C6,,,06/28/2016 02:25:00 PM,14,2016,6,Tuesday,Part One,S POINT DR,,,"(0E-8, 0E-8)"
I162026556,00613,Larceny,LARCENY SHOPLIFTING,D4,134,,04/06/2016 12:27:00 PM,12,2016,4,Wednesday,Part One,BOYLSTON ST,42.35095909,-71.0741278,"(42.35095909, -71.0741278)"
I162081202,00735,Auto Theft Recovery,RECOVERED - MV RECOVERED IN BOSTON (STOLEN OUTSIDE BOSTON),D4,905,,10/04/2016 09:33:00 AM,9,2016,10,Tuesday,Other,E BROOKLINE ST,42.33926764,-71.07208833,"(42.33926764, -71.07208833)"
I162050104,00301,Robbery,ROBBERY - STREET,C11,342,,06/24/2016 02:29:00 AM,2,2016,6,Friday,Part One,BOWDOIN ST,42.30406551,-71.0700332,"(42.30406551, -71.0700332)"
I162027164,00615,Larceny From Motor Vehicle,LARCENY THEFT OF MV PARTS & ACCESSORIES,D14,796,,04/07/2016 04:00:00 PM,16,2016,4,Thursday,Part One,COMMONWEALTH AVE,42.35034226,-71.12942937,"(42.35034226, -71.12942937)"
I162049270,00616,Larceny,LARCENY THEFT OF BICYCLE,E13,576,,06/21/2016 01:40:00 PM,13,2016,6,Tuesday,Part One,GERMANIA ST,42.3143167,-71.10309424,"(42.3143167, -71.10309424)"
I162055735,00724,Auto Theft,AUTO THEFT,C6,176,,07/12/2016 08:30:00 AM,8,2016,7,Tuesday,Part One,SOUTHAMPTON ST,42.33152868,-71.06721698,"(42.33152868, -71.06721698)"
I162007074,00724,Auto Theft,AUTO THEFT,C6,936,,01/26/2016 08:00:00 PM,20,2016,1,Tuesday,Part One,D ST,42.33794261,-71.05184093,"(42.33794261, -71.05184093)"
I162055379,00706,Auto Theft,AUTO THEFT - MOTORCYCLE / SCOOTER,E18,493,,07/11/2016 01:00:00 PM,13,2016,7,Monday,Part One,METROPOLITAN AVE,42.26209214,-71.11670964,"(42.26209214, -71.11670964)"
